REPOSITORY                                      TAG                                    IMAGE ID       CREATED         SIZE
amazoncorretto                                  20.0.2-al2-generic                     de11241e051e   30 hours ago    484MB
amazoncorretto                                  17-alpine                              f68c89424e2a   30 hours ago    289MB
amazoncorretto                                  17-alpine-full                         f68c89424e2a   30 hours ago    289MB
amazoncorretto                                  17-alpine-jdk                          f68c89424e2a   30 hours ago    289MB
amazoncorretto                                  17-alpine3.18                          f68c89424e2a   30 hours ago    289MB
amazoncorretto                                  17-alpine3.18-full                     f68c89424e2a   30 hours ago    289MB
amazoncorretto                                  17-alpine3.18-jdk                      f68c89424e2a   30 hours ago    289MB
amazoncorretto                                  17.0.8-alpine                          f68c89424e2a   30 hours ago    289MB
amazoncorretto                                  17.0.8-alpine3.18                      f68c89424e2a   30 hours ago    289MB
<none>                                          <none>                                 c6e7b157eeac   30 hours ago    289MB
<none>                                          <none>                                 683c02db359f   30 hours ago    287MB
<none>                                          <none>                                 ec10c7c92f15   30 hours ago    287MB
<none>                                          <none>                                 31c8a578be22   30 hours ago    498MB
amazoncorretto                                  17-al2-native-headful                  708499d345ac   30 hours ago    417MB
amazoncorretto                                  17.0.8-al2-native-headful              708499d345ac   30 hours ago    417MB
amazoncorretto                                  17-al2-native-headless                 a27184d78feb   30 hours ago    408MB
amazoncorretto                                  17.0.8-al2-native-headless             a27184d78feb   30 hours ago    408MB
amazoncorretto                                  17-al2023-headful                      69c990c5ecdc   30 hours ago    373MB
amazoncorretto                                  17.0.8-al2023-headful                  69c990c5ecdc   30 hours ago    373MB
amazoncorretto                                  17-al2023-headless                     d11a767e9aaa   30 hours ago    371MB
amazoncorretto                                  17.0.8-al2023-headless                 d11a767e9aaa   30 hours ago    371MB
amazoncorretto                                  17-al2023                              a3a62468689e   30 hours ago    453MB
amazoncorretto                                  17-al2023-jdk                          a3a62468689e   30 hours ago    453MB
amazoncorretto                                  17.0.8-al2023                          a3a62468689e   30 hours ago    453MB
amazoncorretto                                  17                                     7f8a4bdf3474   30 hours ago    466MB
amazoncorretto                                  17-al2-full                            7f8a4bdf3474   30 hours ago    466MB
amazoncorretto                                  17-al2-generic                         7f8a4bdf3474   30 hours ago    466MB
amazoncorretto                                  17-al2-generic-jdk                     7f8a4bdf3474   30 hours ago    466MB
amazoncorretto                                  17-al2-jdk                             7f8a4bdf3474   30 hours ago    466MB
amazoncorretto                                  17.0.8                                 7f8a4bdf3474   30 hours ago    466MB
amazoncorretto                                  17.0.8-al2                             7f8a4bdf3474   30 hours ago    466MB
amazoncorretto                                  17.0.8-al2-generic                     7f8a4bdf3474   30 hours ago    466MB
amazoncorretto                                  11-alpine                              3499e1380939   30 hours ago    274MB
amazoncorretto                                  11-alpine-full                         3499e1380939   30 hours ago    274MB
amazoncorretto                                  11-alpine-jdk                          3499e1380939   30 hours ago    274MB
amazoncorretto                                  11-alpine3.18                          3499e1380939   30 hours ago    274MB
amazoncorretto                                  11-alpine3.18-full                     3499e1380939   30 hours ago    274MB
amazoncorretto                                  11-alpine3.18-jdk                      3499e1380939   30 hours ago    274MB
amazoncorretto                                  11.0.20-alpine                         3499e1380939   30 hours ago    274MB
amazoncorretto                                  11.0.20-alpine3.18                     3499e1380939   30 hours ago    274MB
<none>                                          <none>                                 82a62677d915   30 hours ago    273MB
<none>                                          <none>                                 fe07fbb0859e   30 hours ago    273MB
<none>                                          <none>                                 eef4d022dfc1   30 hours ago    484MB
amazoncorretto                                  11-al2-native-headless                 47953e721cbb   31 hours ago    467MB
amazoncorretto                                  11.0.20-al2-native-headless            47953e721cbb   31 hours ago    467MB
amazoncorretto                                  11-al2023-headful                      bd84397c1a05   31 hours ago    357MB
amazoncorretto                                  11.0.20-al2023-headful                 bd84397c1a05   31 hours ago    357MB
amazoncorretto                                  11-al2023-headless                     e6ba33172d77   31 hours ago    354MB
amazoncorretto                                  11.0.20-al2023-headless                e6ba33172d77   31 hours ago    354MB
amazoncorretto                                  11-al2023                              a4a6710d2a95   31 hours ago    441MB
amazoncorretto                                  11-al2023-jdk                          a4a6710d2a95   31 hours ago    441MB
amazoncorretto                                  11.0.20-al2023                         a4a6710d2a95   31 hours ago    441MB
amazoncorretto                                  11                                     27ee095508b7   31 hours ago    451MB
amazoncorretto                                  11-al2-full                            27ee095508b7   31 hours ago    451MB
amazoncorretto                                  11-al2-generic                         27ee095508b7   31 hours ago    451MB
amazoncorretto                                  11-al2-generic-jdk                     27ee095508b7   31 hours ago    451MB
amazoncorretto                                  11-al2-jdk                             27ee095508b7   31 hours ago    451MB
amazoncorretto                                  11.0.20                                27ee095508b7   31 hours ago    451MB
amazoncorretto                                  11.0.20-al2                            27ee095508b7   31 hours ago    451MB
amazoncorretto                                  11.0.20-al2-generic                    27ee095508b7   31 hours ago    451MB
amazoncorretto                                  8-alpine-jre                           64bdf013a6f4   31 hours ago    115MB
amazoncorretto                                  8-alpine3.18-jre                       64bdf013a6f4   31 hours ago    115MB
amazoncorretto                                  8u382-alpine-jre                       64bdf013a6f4   31 hours ago    115MB
amazoncorretto                                  8u382-alpine3.18-jre                   64bdf013a6f4   31 hours ago    115MB
amazoncorretto                                  8-alpine                               9d148cd5923e   31 hours ago    207MB
amazoncorretto                                  8-alpine-full                          9d148cd5923e   31 hours ago    207MB
amazoncorretto                                  8-alpine-jdk                           9d148cd5923e   31 hours ago    207MB
amazoncorretto                                  8-alpine3.18                           9d148cd5923e   31 hours ago    207MB
amazoncorretto                                  8-alpine3.18-full                      9d148cd5923e   31 hours ago    207MB
amazoncorretto                                  8-alpine3.18-jdk                       9d148cd5923e   31 hours ago    207MB
amazoncorretto                                  8u382-alpine                           9d148cd5923e   31 hours ago    207MB
amazoncorretto                                  8u382-alpine3.18                       9d148cd5923e   31 hours ago    207MB
<none>                                          <none>                                 761919922dbc   31 hours ago    115MB
<none>                                          <none>                                 ecda9605af9b   31 hours ago    206MB
<none>                                          <none>                                 8a4ea2f9bc16   31 hours ago    114MB
<none>                                          <none>                                 907bc0fc8e0f   31 hours ago    205MB
<none>                                          <none>                                 1e64b9ed44a3   31 hours ago    114MB
<none>                                          <none>                                 514b171832e1   31 hours ago    205MB
<none>                                          <none>                                 314789fc4b26   31 hours ago    493MB
amazoncorretto                                  8-al2-native-jre                       41c088cf0b58   31 hours ago    443MB
amazoncorretto                                  8u382-al2-native-jre                   41c088cf0b58   31 hours ago    443MB
amazoncorretto                                  8-al2023                               de2013a6bc50   31 hours ago    817MB
